"","X_wc2.1_30s_bio_1","X_wc2.1_30s_bio_10","X_wc2.1_30s_bio_11","X_wc2.1_30s_bio_12","X_wc2.1_30s_bio_13","X_wc2.1_30s_bio_14","X_wc2.1_30s_bio_15","X_wc2.1_30s_bio_16","X_wc2.1_30s_bio_17","X_wc2.1_30s_bio_18","X_wc2.1_30s_bio_19","X_wc2.1_30s_bio_2","X_wc2.1_30s_bio_3","X_wc2.1_30s_bio_4","X_wc2.1_30s_bio_5","X_wc2.1_30s_bio_6","X_wc2.1_30s_bio_7","X_wc2.1_30s_bio_8","X_wc2.1_30s_bio_9"
"X_wc2.1_30s_bio_1",1,0.882069810408735,0.976798338280586,0.332875377852386,0.555452577418599,-0.391002578544211,0.535195503443475,0.553049272417057,-0.360439982707811,-0.406014109024957,0.362265658078848,-0.224302458707442,0.783477075713544,-0.816849337072533,0.764824201292975,0.920816794968193,-0.670684688887808,0.811968349589104,0.92303383415279
"X_wc2.1_30s_bio_10",0.882069810408735,1,0.773400672715949,0.217511826238098,0.317055774236605,-0.19710123960937,0.262283261543646,0.314752804316514,-0.171462233582498,-0.441377420596569,0.32244902347463,-0.212092224870282,0.473732465960466,-0.460830574014668,0.869447724082133,0.763412422465378,-0.423598135289223,0.812203751583975,0.748619932802009
"X_wc2.1_30s_bio_11",0.976798338280586,0.773400672715949,1,0.39382480798007,0.636764414130739,-0.409000466575837,0.586887433659265,0.634863797351202,-0.377594254462876,-0.413040076969361,0.405489369366612,-0.254309063073639,0.864519625609774,-0.918494058287586,0.673909935130577,0.943156096436559,-0.748554575410292,0.733814708567968,0.945837501650604
"X_wc2.1_30s_bio_12",0.332875377852386,0.217511826238098,0.39382480798007,1,0.844612017036497,0.339994193069722,-0.164104790045684,0.869654565425885,0.38649163920552,0.080973527497284,0.708359450588475,-0.395814705437275,0.365754844718505,-0.420841530982324,0.13713034999828,0.437862645915488,-0.44640488662589,0.135871335391233,0.421549175252398
"X_wc2.1_30s_bio_13",0.555452577418599,0.317055774236605,0.636764414130739,0.844612017036497,1,-0.0915678695683875,0.340311863371228,0.988409450663512,-0.0556972466599542,-0.0161208969739045,0.575026534852384,-0.286663729406726,0.652646122930126,-0.695384146759634,0.244064692291907,0.610512366922983,-0.592676141118991,0.338454400122059,0.603252683072526
"X_wc2.1_30s_bio_14",-0.391002578544211,-0.19710123960937,-0.409000466575837,0.339994193069722,-0.0915678695683875,1,-0.857768388475341,-0.0947651414669729,0.990418567459944,0.0955805888691025,0.332083646989509,-0.448363870093834,-0.331645995908514,0.443897825756249,-0.383153256608341,-0.19450811183289,0.0169783016285966,-0.419453770263124,-0.257759127924129
"X_wc2.1_30s_bio_15",0.535195503443475,0.262283261543646,0.586887433659265,-0.164104790045684,0.340311863371228,-0.857768388475341,1,0.317228496291508,-0.868398706427493,-0.171006744374276,-0.189679877507527,0.266847163434302,0.605956358189919,-0.652975632416592,0.342784824961913,0.409595827639264,-0.296882320848867,0.438739798038925,0.462122762386135
"X_wc2.1_30s_bio_16",0.553049272417057,0.314752804316514,0.634863797351202,0.869654565425885,0.988409450663512,-0.0947651414669729,0.317228496291508,1,-0.0575082039361205,0.00740829155694198,0.589450684779772,-0.268579000142456,0.629968893935702,-0.694388916297266,0.261105123717676,0.599020855288073,-0.569346566112335,0.335918611400121,0.59896905666968
"X_wc2.1_30s_bio_17",-0.360439982707811,-0.171462233582498,-0.377594254462876,0.38649163920552,-0.0556972466599542,0.990418567459944,-0.868398706427493,-0.0575082039361205,1,0.0981963411117831,0.367790011456327,-0.458274053905696,-0.308774857920376,0.415562952424421,-0.358702027762484,-0.164682424667178,-0.0049265593467299,-0.387826503102731,-0.230566563703588
"X_wc2.1_30s_bio_18",-0.406014109024957,-0.441377420596569,-0.413040076969361,0.080973527497284,-0.0161208969739045,0.0955805888691025,-0.171006744374276,0.00740829155694198,0.0981963411117831,1,-0.381514874407885,0.386666362091147,-0.380950061911833,0.317489083046687,-0.389203201050918,-0.54584143628668,0.433676459761172,-0.21889949256514,-0.482946700133414
"X_wc2.1_30s_bio_19",0.362265658078848,0.32244902347463,0.405489369366612,0.708359450588475,0.575026534852384,0.332083646989509,-0.189679877507527,0.589450684779772,0.367790011456327,-0.381514874407885,1,-0.594009908762193,0.396284811135665,-0.378080992936099,0.181853179305616,0.556425416999869,-0.563009086597319,0.142000737049671,0.483758557555332
"X_wc2.1_30s_bio_2",-0.224302458707442,-0.212092224870282,-0.254309063073639,-0.395814705437275,-0.286663729406726,-0.448363870093834,0.266847163434302,-0.268579000142456,-0.458274053905696,0.386666362091147,-0.594009908762193,1,-0.282556979843926,0.234672956774883,0.181917843307814,-0.538331464935567,0.746069357701097,-0.0321269345256902,-0.367440423588755
"X_wc2.1_30s_bio_3",0.783477075713544,0.473732465960466,0.864519625609774,0.365754844718505,0.652646122930126,-0.331645995908514,0.605956358189919,0.629968893935702,-0.308774857920376,-0.380950061911833,0.396284811135665,-0.282556979843926,1,-0.916791701010519,0.331301265517409,0.852271596939756,-0.832668279055975,0.541752178686287,0.814970127764176
"X_wc2.1_30s_bio_4",-0.816849337072533,-0.460830574014668,-0.918494058287586,-0.420841530982324,-0.695384146759634,0.443897825756249,-0.652975632416592,-0.694388916297266,0.415562952424421,0.317489083046687,-0.378080992936099,0.234672956774883,-0.916791701010519,1,-0.403321395260196,-0.84983140013124,0.789224332272777,-0.519001470780557,-0.859017272586243
"X_wc2.1_30s_bio_5",0.764824201292975,0.869447724082133,0.673909935130577,0.13713034999828,0.244064692291907,-0.383153256608341,0.342784824961913,0.261105123717676,-0.358702027762484,-0.389203201050918,0.181853179305616,0.181917843307814,0.331301265517409,-0.403321395260196,1,0.554676488914037,-0.100542253067041,0.728037774050015,0.615129244298588
"X_wc2.1_30s_bio_6",0.920816794968193,0.763412422465378,0.943156096436559,0.437862645915488,0.610512366922983,-0.19450811183289,0.409595827639264,0.599020855288073,-0.164682424667178,-0.54584143628668,0.556425416999869,-0.538331464935567,0.852271596939756,-0.84983140013124,0.554676488914037,1,-0.883618268456116,0.659290599287795,0.938854297098664
"X_wc2.1_30s_bio_7",-0.670684688887808,-0.423598135289223,-0.748554575410292,-0.44640488662589,-0.592676141118991,0.0169783016285966,-0.296882320848867,-0.569346566112335,-0.0049265593467299,0.433676459761172,-0.563009086597319,0.746069357701097,-0.832668279055975,0.789224332272777,-0.100542253067041,-0.883618268456116,1,-0.378667880953853,-0.776486959746183
"X_wc2.1_30s_bio_8",0.811968349589104,0.812203751583975,0.733814708567968,0.135871335391233,0.338454400122059,-0.419453770263124,0.438739798038925,0.335918611400121,-0.387826503102731,-0.21889949256514,0.142000737049671,-0.0321269345256902,0.541752178686287,-0.519001470780557,0.728037774050015,0.659290599287795,-0.378667880953853,1,0.579433038536849
"X_wc2.1_30s_bio_9",0.92303383415279,0.748619932802009,0.945837501650604,0.421549175252398,0.603252683072526,-0.257759127924129,0.462122762386135,0.59896905666968,-0.230566563703588,-0.482946700133414,0.483758557555332,-0.367440423588755,0.814970127764176,-0.859017272586243,0.615129244298588,0.938854297098664,-0.776486959746183,0.579433038536849,1
